,season_year,season_type,gamekey,game_date,week,playid,game_clock,yardline,quarter,play_type,poss_team,home_team_visit_team,score_home_visiting,playdescription,No Play,PENALTY,declined,Offensive Holding,Defensive 12 On-field,Illegal Block Above the Waist,Fair Catch Interference,Running Into the Kicker,Unnecessary Roughness,Illegal Touch Kick,Illegal Use of Hands,False Start,Out of Bounds on Punt,Horse Collar Tackle,Face Mask,Ineligible Downfield Kick,Illegal Substitution,Illegal Formation,Delay of Game,Illegal Blindside Block,Neutral Zone Infraction,Tripping,Defensive Holding,Roughing the Kicker,Unsportsmanlike Conduct,Defensive Offside,Interference with Opportunity to Catch,Illegal Motion,Chop Block,Clipping,Invalid Fair Catch Signal,Illegal Shift,Offensive 12 On-field,Taunting,Offensive Pass Interference,Disqualification,Defensive Pass Interference,REVERSED,out of bounds,Touchback,fair catch,MUFF,downed,BLOCKED,TOUCHDOWN,no gain,FUMBLES,pass incomplete,Returned,returned for,return_yards,risk_factor,Season_Year,GameKey,PlayID,PlayUnique,GL,GLi,GLo,GR,GRi,GRo,P,PC,PDL1,PDL2,PDL3,PDL4,PDL5,PDL6,PDM,PDR1,PDR2,PDR3,PDR4,PDR5,PDR6,PFB,PLG,PLL,PLL1,PLL2,PLL3,PLM,PLM1,PLR,PLR1,PLR2,PLR3,PLS,PLT,PLW,PPL,PPLi,PPLo,PPR,PPRi,PPRo,PR,PRG,PRT,PRW,VL,VLi,VLo,VR,VRi,VRo
2125,2017,Reg,641,12/31/2017,17,1603,05:13,GB 2,2,Punt,GB,DET-GB,10 - 3,"(5:13) J.Vogel punts 48 yards to 50, Center-B.Goode. J.Agnew to GB 11 for 39 yards (M.Evans). PENALTY on DET-J.Reeves-Maybin, Illegal Block Above the Waist, 10 yards, enforced at GB 30.",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,641,1603,2017-641-1603,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
2126,2017,Pre,395,08/31/2017,5,3873,06:35,NO 45,4,Punt,NO,NO-BLT,13 - 14,"(6:35) T.Morstead punts 54 yards to BLT 1, Center-J.Dorenbos, downed by NO-O.Gwacham.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,4.0,2017,395,3873,2017-395-3873,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
2127,2017,Reg,532,11/09/2017,10,2931,06:13,SEA 30,3,Punt,SEA,ARZ-SEA,10 - 15,"(6:13) J.Ryan punts 42 yards to ARZ 28, Center-T.Ott, fair catch by K.Williams. PENALTY on ARZ-K.Martin, Offensive Holding, 10 yards, enforced at ARZ 28.",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,532,2931,2017-532-2931,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
2129,2016,Reg,256,12/04/2016,13,1900,01:30,CAR 25,2,Punt,CAR,SEA-CAR,20 - 7,"(1:30) M.Palardy punts 52 yards to SEA 23, Center-J.Jansen. T.Lockett to SEA 35 for 12 yards (J.Webb). PENALTY on SEA-K.Pierre-Louis, Offensive Holding, 10 yards, enforced at SEA 25.",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,256,1900,2016-256-1900,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0
2082,2016,Reg,79,09/11/2016,1,2084,00:22,NE 23,2,Punt,NE,ARZ-NE,7 - 10,"(:22) R.Allen punts 45 yards to ARZ 32, Center-J.Cardona, fair catch by P.Peterson.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,79,2084,2016-79-2084,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2130,2016,Reg,88,09/18/2016,2,342,09:18,NO 28,1,Punt,NO,NYG-NO,0 - 0,"(9:18) T.Morstead punts 55 yards to NYG 17, Center-J.Drescher, downed by NO-D.Lasco.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,4.0,2016,88,342,2016-88-342,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2131,2017,Reg,640,12/31/2017,17,4176,06:45,CIN 20,4,Punt,CIN,BLT-CIN,27 - 24,"(6:45) (Punt formation) K.Huber punts 55 yards to BLT 25, Center-C.Harris. M.Campanaro ran ob at BLT 29 for 4 yards. PENALTY on BLT-V.Mayle, Offensive Holding, 10 yards, enforced at BLT 25.",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,640,4176,2017-640-4176,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
2132,2017,Reg,640,12/31/2017,17,3835,12:17,CIN 27,4,Punt,CIN,BLT-CIN,20 - 24,"(12:17) (Punt formation) K.Huber punts 51 yards to BLT 22, Center-C.Harris. M.Campanaro to BLT 40 for 18 yards (B.Hill). PENALTY on CIN-B.Hill, Unnecessary Roughness, 15 yards, enforced at BLT 40.",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,640,3835,2017-640-3835,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
2133,2016,Reg,88,09/18/2016,2,2443,09:04,NYG 43,3,Punt,NO,NYG-NO,7 - 3,"(9:04) T.Morstead punts 40 yards to NYG 3, Center-J.Drescher, downed by NO-D.Harris. PENALTY on NO-J.Drescher, Offensive Holding, 10 yards, enforced at NYG 43 - No Play.",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,4.0,2016,88,2443,2016-88-2443,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2134,2017,Pre,395,08/31/2017,5,993,00:49,BLT 38,1,Punt,BLT,NO-BLT,0 - 7,"(:49) K.Allen punts 54 yards to NO 8, Center-T.Pepper. T.Cadet ran ob at NO 15 for 7 yards (B.Bradley).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 7 yard,7.0,4.0,2017,395,993,2017-395-993,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
2135,2016,Reg,86,09/18/2016,2,556,06:21,KC 37,1,Punt,KC,HST-KC,7 - 0,"(6:21) D.Colquitt punts 48 yards to HST 15, Center-J.Winchester, fair catch by T.Ervin.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,86,556,2016-86-556,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2136,2016,Reg,82,09/15/2016,2,2786,09:42,NYJ 28,3,Punt,NYJ,BUF-NYJ,24 - 20,"(9:42) L.Edwards punts 47 yards to BUF 25, Center-T.Purdum. B.Tate pushed ob at BUF 33 for 8 yards (J.Howsare).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 8 yard,8.0,4.0,2016,82,2786,2016-82-2786,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
2137,2016,Reg,85,09/18/2016,2,3775,07:15,DET 42,4,Punt,DET,DET-TEN,15 - 10,"(7:15) S.Martin punts 48 yards to TEN 10, Center-D.Muhlbach. M.Mariani to TEN 19 for 9 yards (D.Carey). FUMBLES (D.Carey), ball out of bounds at TEN 17.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0.0,4.0,2016,85,3775,2016-85-3775,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2138,2017,Reg,565,11/26/2017,12,297,11:50,KC 12,1,Punt,KC,KC-BUF,0 - 0,"(11:50) D.Colquitt punts 54 yards to BUF 34, Center-J.Winchester. B.Tate to BUF 48 for 14 yards (A.Sherman). PENALTY on BUF-L.Johnson, Offensive Holding, 10 yards, enforced at BUF 45.",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,565,297,2017-565-297,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2139,2017,Reg,531,11/06/2017,9,2320,04:37,GB 30,3,Punt,GB,GB-DET,3 - 17,"(4:37) J.Vogel punts 43 yards to DET 27, Center-D.Hart. J.Agnew to DET 36 for 9 yards (D.Hart; M.Evans).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 9 yard,9.0,4.0,2017,531,2320,2017-531-2320,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2140,2017,Reg,472,10/08/2017,5,182,12:14,SEA 29,1,Punt,SEA,LA-SEA,0 - 0,"(12:14) J.Ryan punts 38 yards to LA 33, Center-T.Ott. T.Austin MUFFS catch, and recovers at LA 38. T.Austin to LA 38 for no gain (T.McEvoy).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,4.0,2017,472,182,2017-472-182,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1
2141,2016,Reg,261,12/11/2016,14,2748,03:25,CIN 39,3,Punt,CIN,CLV-CIN,7 - 20,"(3:25) K.Huber punts 42 yards to CLV 19, Center-T.Ott, fair catch by J.Haden.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,261,2748,2016-261-2748,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
2142,2016,Reg,261,12/11/2016,14,1317,08:06,CLV 42,2,Punt,CIN,CLV-CIN,0 - 13,"(8:06) K.Huber punts 40 yards to CLV 2, Center-T.Ott, downed by CIN-D.Dennard.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,4.0,2016,261,1317,2016-261-1317,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
2114,2016,Reg,78,09/11/2016,1,2156,12:48,DET 29,3,Punt,DET,IND-DET,10 - 21,"(12:48) S.Martin punts 56 yards to IND 15, Center-D.Muhlbach, fair catch by Q.Bray.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,78,2156,2016-78-2156,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
2113,2017,Pre,393,08/31/2017,5,623,06:11,MIA 20,1,Punt,MIA,MIN-MIA,0 - 7,"(6:11) (Punt formation) M.Darr punts 51 yards to MIN 29, Center-W.Chapman. R.Adams to MIN 30 for 1 yard (M.Smith).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 1 yard,1.0,4.0,2017,393,623,2017-393-623,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
2112,2016,Reg,77,09/11/2016,1,3046,12:06,NYG 45,4,Punt,NYG,DAL-NYG,19 - 13,"(12:06) (Punt formation) B.Wing punts 55 yards to end zone, Center-Z.DeOssie, Touchback.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,77,3046,2016-77-3046,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
2111,2017,Reg,565,11/26/2017,12,699,06:05,KC 27,1,Punt,KC,KC-BUF,0 - 0,"(6:05) D.Colquitt punts 51 yards to BUF 22, Center-J.Winchester. B.Tate pushed ob at BUF 42 for 20 yards (A.Hunt).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 20 yard,20.0,4.0,2017,565,699,2017-565-699,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2083,2017,Reg,624,12/23/2017,16,1433,04:58,MIN 48,2,Punt,MIN,GB-MIN,0 - 10,"(4:58) R.Quigley punts 29 yards to GB 23, Center-K.McDermott, fair catch by T.Davis.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,624,1433,2017-624-1433,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2084,2016,Reg,265,12/11/2016,14,1843,01:49,MIA 7,2,Punt,MIA,MIA-ARZ,14 - 6,"(1:49) (Punt formation) M.Darr punts 42 yards to MIA 49, Center-J.Denney. P.Peterson pushed ob at MIA 38 for 11 yards (M.Thomas).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 11 yard,11.0,4.0,2016,265,1843,2016-265-1843,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
2085,2017,Reg,472,10/08/2017,5,3296,11:58,LA 34,4,Punt,LA,LA-SEA,10 - 13,"(11:58) J.Hekker punts 40 yards to SEA 26, Center-J.McQuaide, fair catch by T.Lockett.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2017,472,3296,2017-472-3296,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2086,2016,Reg,80,09/12/2016,1,357,09:30,PIT 21,1,Punt,PIT,WAS-PIT,0 - 0,"(9:30) J.Berry punts 46 yards to WAS 33, Center-G.Warren, fair catch by J.Crowder.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,80,357,2016-80-357,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
2087,2016,Reg,81,09/12/2016,1,401,09:02,SF 39,1,Punt,SF,SF-LA,0 - 0,"(9:02) B.Pinion punts 52 yards to LA 9, Center-K.Nelson, fair catch by T.Austin.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,81,401,2016-81-401,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
2088,2016,Reg,76,09/11/2016,1,289,11:27,MIA 24,1,Punt,MIA,SEA-MIA,0 - 0,"(11:27) M.Darr punts 43 yards to SEA 33, Center-J.Denney, fair catch by T.Lockett.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,76,289,2016-76-289,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
2089,2016,Reg,264,12/11/2016,14,3336,12:48,JAX 30,4,Punt,JAX,JAX-MIN,16 - 18,"(12:48) B.Nortman punts 29 yards to MIN 41, Center-C.Tinker, out of bounds. Minn 27 Got a hand on the ball",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,264,3336,2016-264-3336,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2090,2016,Reg,264,12/11/2016,14,734,01:17,MIN 23,1,Punt,MIN,JAX-MIN,0 - 6,"(1:17) J.Locke punts 42 yards to JAX 35, Center-K.McDermott. B.Walters to JAX 39 for 4 yards (C.Patterson).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 4 yard,4.0,4.0,2016,264,734,2016-264-734,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2091,2016,Reg,264,12/11/2016,14,610,03:22,JAX 47,1,Punt,JAX,JAX-MIN,0 - 6,"(3:22) B.Nortman punts 41 yards to MIN 12, Center-C.Tinker, out of bounds. PENALTY on JAX-C.Tinker, Offensive Holding, 10 yards, enforced at MIN 12.",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,264,610,2016-264-610,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2092,2016,Reg,263,12/11/2016,14,1289,09:57,HST 49,2,Punt,IND,IND-HST,3 - 3,"(9:57) (Punt formation) P.McAfee punts 49 yards to end zone, Center-M.Overton, Touchback.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,263,1289,2016-263-1289,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
2093,2016,Reg,81,09/12/2016,1,2654,07:44,SF 33,3,Punt,SF,SF-LA,14 - 0,"(7:44) B.Pinion punts 39 yards to LA 28, Center-K.Nelson, fair catch by T.Austin.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,81,2654,2016-81-2654,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0
2095,2016,Reg,81,09/12/2016,1,3520,11:13,LA 31,4,Punt,LA,SF-LA,21 - 0,"(11:13) J.Hekker punts 49 yards to SF 20, Center-J.McQuaide, fair catch by J.Kerley.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,81,3520,2016-81-3520,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
2096,2016,Reg,265,12/11/2016,14,3671,05:24,MIA 11,4,Punt,MIA,MIA-ARZ,23 - 15,"(5:24) (Punt formation) M.Darr punts 39 yards to 50, Center-J.Denney, downed by MIA-W.Aikens.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0,4.0,2016,265,3671,2016-265-3671,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2097,2016,Reg,265,12/11/2016,14,3961,02:04,MIA 32,4,Punt,MIA,MIA-ARZ,23 - 23,"(2:04) (Punt formation) M.Darr punts 44 yards to ARZ 24, Center-J.Denney. P.Peterson to ARZ 25 for 1 yard (N.Hewitt).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 1 yard,1.0,4.0,2016,265,3961,2016-265-3961,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
2098,2016,Reg,266,12/11/2016,14,372,08:17,WAS 33,1,Punt,WAS,PHI-WAS,3 - 0,"(8:17) T.Way punts 47 yards to PHI 20, Center-N.Sundberg, out of bounds.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.0,4.0,2016,266,372,2016-266-372,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
